sample_id,sample_date,state,latitude,longitude,target
BG_78,2007-07-25,Sikkim,27.3383,88.6069,0
BG_126,2010-04-14,Sikkim,27.1499,88.38,0
BG_130,2009-09-12,Assam,26.1699,91.7986,0
BG_141,2008-08-08,Meghalaya,25.38,91.88,0
BG_142,2008-08-06,Meghalaya,25.5212,90.232,0
BG_148,2010-05-30,Mizoram,22.479,92.967,0
BG_147,2007-07-23,Mizoram,22.533,92.899,0
BG_211,2009-10-03,Manipur,24.9667,93.55,0
BG_213,2007-09-11,Assam,25.2946,92.8339,0
BG_212,2007-07-25,Meghalaya,25.5576,91.8506,0
BG_215,2008-10-24,Nagaland,25.7428,93.9136,0
BG_220,2010-07-03,Manipur,25.1333,93.9667,0
BG_247,2010-03-28,Manipur,25.0604,93.9877,0
BG_251,2010-04-11,Sikkim,27.1667,88.35,0
BG_252,2010-03-23,Nagaland,25.4993,94.1192,0
BG_255,2010-04-17,Manipur,24.2451,94.0691,0
BG_256,2008-08-28,Sikkim,27.3425,88.6236,0
BG_259,2007-08-23,Meghalaya,25.52,91.27,0
BG_258,2010-05-26,Manipur,24.4279,94.0564,0
BG_264,2008-08-10,Assam,26.1833,91.8,0
BG_269,2008-08-25,Sikkim,27.2872,88.2816,0
BG_285,2008-06-10,Mizoram,24.1293,92.6921,0
BG_313,2007-09-06,Nagaland,25.7055,94.0132,0
BG_319,2010-06-16,Nagaland,25.4379,94.1162,0
BG_322,2010-04-16,Assam,24.75,93.4333,0
BG_545,2009-08-29,Assam,24.9849,92.8411,0
BG_580,2008-06-18,Manipur,24.6596,93.9784,0
BG_585,2010-05-09,Arunachal Pradesh,27.0998,93.6287,0
BG_587,2008-10-28,Assam,27.2298,94.0989,0
BG_594,2008-08-09,Manipur,24.9336,93.8275,0
BG_692,2008-08-11,Nagaland,25.705,94.04,0
BG_714,2007-09-16,Assam,27.163,94.0,0
BG_731,2007-07-25,Nagaland,26.138,94.25,0
BG_755,2009-08-07,Sikkim,27.337,88.609,0
BG_760,2010-06-06,Nagaland,25.67,94.1066,0
BG_868,2007-07-18,Assam,26.3333,91.25,0
BG_870,2010-05-30,Arunachal Pradesh,27.4,92.35,0
BG_869,2010-05-10,Assam,27.2333,94.1167,0
BG_1084,2007-10-12,Arunachal Pradesh,27.7,92.8,0
BG_1108,2009-08-26,Assam,24.9925,93.5,0
BG_1112,2007-08-31,Sikkim,27.1761,88.5287,0
BG_1109,2010-04-02,Assam,25.5215,93.1645,0
BG_1125,2009-10-04,Sikkim,27.3746,88.7648,0
BG_1127,2008-06-05,Assam,25.1718,93.123,0
BG_1129,2007-07-19,Manipur,24.8628,94.4182,0
BG_1168,2010-07-01,Sikkim,27.1954,88.6115,0
BG_1222,2008-08-08,Mizoram,23.73478778,92.72124394,0
BG_1596,2010-06-08,Manipur,24.7339,93.9161,0
BG_1611,2009-09-17,Assam,25.1553,93.028,0
BG_1613,2010-04-15,Arunachal Pradesh,27.8997,93.3497,0
BG_1756,2010-04-01,Sikkim,27.322,88.6087,0
BG_1755,2007-09-09,Sikkim,27.3341,88.6083,0
BG_1770,2008-06-08,Assam,26.1965,91.763,0
BG_1771,2008-08-13,Assam,26.1978,91.7665,0
BG_1776,2008-08-23,Meghalaya,25.3612,92.2845,0
BG_1775,2007-07-13,Arunachal Pradesh,27.8965,96.1779,0
BG_1857,2008-10-28,Meghalaya,25.3433,92.2897,0
BG_1930,2007-08-29,Arunachal Pradesh,28.4298,95.8776,0
BG_1929,2010-03-28,Sikkim,27.3543,88.6428,0
BG_1935,2009-09-29,Tripura,23.8986,91.7599,0
BG_1934,2010-06-15,Assam,24.6005,92.3814,0
BG_1954,2010-03-29,Manipur,24.7543,93.5039,0
BG_1961,2008-06-08,Meghalaya,25.8833,91.2,0
BG_1987,2010-07-01,Assam,25.2269,93.1658,0
BG_1986,2008-06-19,Nagaland,26.3335,94.5512,0
BG_1994,2008-05-16,Assam,25.0633,92.8025,0
BG_1996,2010-06-10,Nagaland,26.4333,94.8833,0
BG_2026,2008-06-09,Meghalaya,25.4916,91.2698,0
BG_2025,2007-07-21,Meghalaya,25.5728,91.885,0
BG_2045,2008-08-14,Nagaland,26.2363,94.8133,0
BG_2043,2010-04-18,Nagaland,26.7225,95.0281,0
BG_2042,2007-09-07,Nagaland,26.0093,94.5238,0
BG_2044,2008-08-13,Nagaland,25.8877,94.7861,0
BG_2098,2007-08-23,Nagaland,26.7215,95.0283,0
BG_2106,2009-09-30,Nagaland,26.8716,94.9921,0
BG_2113,2008-08-16,Sikkim,27.3773,88.559,0
BG_2140,2008-05-18,Assam,25.0477,92.801,0
BG_2163,2007-09-17,Nagaland,25.4196,94.1054,0
BG_2166,2009-08-09,Assam,24.9786,93.5027,0
BG_2164,2009-09-15,Manipur,25.3098633,94.48214677,0
BG_2182,2010-06-23,Manipur,24.9356,93.8443,0
BG_2205,2008-08-07,Mizoram,23.7365,92.7146,0
BG_2243,2007-08-31,Nagaland,25.70223725,94.04619681,0
BG_2247,2010-05-11,Nagaland,26.148,94.8422,0
BG_2248,2009-08-26,Nagaland,26.222,94.9152,0
BG_2249,2009-10-04,Nagaland,26.0814,94.803,0
BG_2253,2007-07-26,Manipur,25.31006064,94.48265093,0
BG_2263,2007-10-21,Nagaland,26.2753,94.6654,0
BG_2283,2010-04-12,Manipur,24.8961,93.4957,0
BG_2282,2010-05-11,Nagaland,26.1984,94.8158,0
BG_2281,2008-08-06,Nagaland,25.61560252,94.11603493,0
BG_2296,2010-04-21,Sikkim,27.167,88.3652,0
BG_2304,2010-05-26,Nagaland,25.5718,94.1211,0
BG_2344,2008-06-14,Assam,24.7505,93.4221,0
BG_2343,2010-06-09,Nagaland,25.4786,94.1327,0
BG_2345,2007-10-16,Sikkim,27.3392,88.6188,0
BG_2392,2007-09-24,Sikkim,27.3702,88.7334,0
BG_2405,2009-09-29,Arunachal Pradesh,28.3036,95.4112,0
BG_2411,2009-08-27,Arunachal Pradesh,27.0011,93.7273,0
BG_2415,2007-08-25,Nagaland,25.63961883,94.11112157,0
