sample_id,sample_date,state,latitude,longitude,elevation,slope,target
BG_78,2007-07-25,Sikkim,27.3383,88.6069,1516.77734375,18.41972714246763,0
BG_126,2010-04-14,Sikkim,27.1499,88.38,1099.262939453125,30.672385852359984,0
BG_130,2009-09-12,Assam,26.1699,91.7986,151.2103271484375,4.13577918414363,0
BG_141,2008-08-08,Meghalaya,25.38,91.88,1300.3878173828125,32.99055290487651,0
BG_142,2008-08-06,Meghalaya,25.5212,90.232,556.1650390625,19.016147268079386,0
BG_148,2010-05-30,Mizoram,22.479,92.967,471.984375,27.640627935520985,0
BG_147,2007-07-23,Mizoram,22.533,92.899,821.9502563476562,16.777860528156133,0
BG_211,2009-10-03,Manipur,24.9667,93.55,569.6266479492188,17.298171507895404,0
BG_213,2007-09-11,Assam,25.2946,92.8339,886.52490234375,12.510995585560348,0
BG_212,2007-07-25,Meghalaya,25.5576,91.8506,1679.0869140625,3.506681535927905,0
BG_215,2008-10-24,Nagaland,25.7428,93.9136,481.20635986328125,19.656847192333558,0
BG_220,2010-07-03,Manipur,25.1333,93.9667,1008.8310546875,1.8902889926882953,0
BG_247,2010-03-28,Manipur,25.0604,93.9877,1545.535400390625,27.625082728714503,0
BG_251,2010-04-11,Sikkim,27.1667,88.35,1156.617431640625,26.155763679159726,0
BG_252,2010-03-23,Nagaland,25.4993,94.1192,1943.063720703125,16.97108274935564,0
BG_255,2010-04-17,Manipur,24.2451,94.0691,1281.67626953125,32.74356196433509,0
BG_256,2008-08-28,Sikkim,27.3425,88.6236,2068.423583984375,27.18264405575968,0
BG_259,2007-08-23,Meghalaya,25.52,91.27,1340.175537109375,6.266121021997378,0
BG_258,2010-05-26,Manipur,24.4279,94.0564,898.5164184570312,11.152262623352774,0
BG_264,2008-08-10,Assam,26.1833,91.8,67.15460205078125,0.9249076950976995,0
BG_269,2008-08-25,Sikkim,27.2872,88.2816,574.5270385742188,15.626526291606504,0
BG_285,2008-06-10,Mizoram,24.1293,92.6921,824.6757202148438,6.062900884080862,0
BG_313,2007-09-06,Nagaland,25.7055,94.0132,1463.825439453125,14.13618926663113,0
BG_319,2010-06-16,Nagaland,25.4379,94.1162,1487.4071044921875,20.48900293213271,0
BG_322,2010-04-16,Assam,24.75,93.4333,461.7928161621094,25.876640119049227,0
BG_545,2009-08-29,Assam,24.9849,92.8411,252.45228576660156,11.623937764243202,0
BG_580,2008-06-18,Manipur,24.6596,93.9784,777.2774658203125,0.1878882055469405,0
BG_585,2010-05-09,Arunachal Pradesh,27.0998,93.6287,401.5107116699219,5.571979312221454,0
BG_587,2008-10-28,Assam,27.2298,94.0989,95.53105163574219,0.356374350353465,0
BG_594,2008-08-09,Manipur,24.9336,93.8275,1024.45947265625,15.248268472329029,0
BG_692,2008-08-11,Nagaland,25.705,94.04,1039.6583251953125,15.71904937557736,0
BG_714,2007-09-16,Assam,27.163,94.0,95.37162780761719,2.0011101266833453,0
BG_731,2007-07-25,Nagaland,26.138,94.25,1021.4805908203125,14.596117591807776,0
BG_755,2009-08-07,Sikkim,27.337,88.609,1540.588623046875,19.331761835881853,0
BG_760,2010-06-06,Nagaland,25.67,94.1066,1443.349365234375,12.454577379053319,0
BG_868,2007-07-18,Assam,26.3333,91.25,41.51915740966797,0.420143789448782,0
BG_870,2010-05-30,Arunachal Pradesh,27.4,92.35,2629.237060546875,21.131889995126638,0
BG_869,2010-05-10,Assam,27.2333,94.1167,90.57893371582031,0.7003269712488166,0
BG_1084,2007-10-12,Arunachal Pradesh,27.7,92.8,2453.18310546875,14.774098163046348,0
BG_1108,2009-08-26,Assam,24.9925,93.5,1216.565185546875,10.22053006638898,0
BG_1112,2007-08-31,Sikkim,27.1761,88.5287,298.3282775878906,5.591672252031471,0
BG_1109,2010-04-02,Assam,25.5215,93.1645,278.50848388671875,1.9523159245730848,0
BG_1125,2009-10-04,Sikkim,27.3746,88.7648,3751.0,0.0,0
BG_1127,2008-06-05,Assam,25.1718,93.123,727.5643920898438,11.923039259895303,0
BG_1129,2007-07-19,Manipur,24.8628,94.4182,889.1970825195312,29.422747902937864,0
BG_1168,2010-07-01,Sikkim,27.1954,88.6115,471.149169921875,5.601698277056357,0
BG_1222,2008-08-08,Mizoram,23.73478778,92.72124394,971.9013061523438,23.022841960788707,0
BG_1596,2010-06-08,Manipur,24.7339,93.9161,886.3097534179688,10.835882126102993,0
BG_1611,2009-09-17,Assam,25.1553,93.028,591.91650390625,21.881378314660918,0
BG_1613,2010-04-15,Arunachal Pradesh,27.8997,93.3497,879.9609375,5.926442755152011,0
BG_1756,2010-04-01,Sikkim,27.322,88.6087,1496.3751220703125,31.323918278254823,0
BG_1755,2007-09-09,Sikkim,27.3341,88.6083,1451.62548828125,20.328596105918432,0
BG_1770,2008-06-08,Assam,26.1965,91.763,90.63945007324219,2.27115786595453,0
BG_1771,2008-08-13,Assam,26.1978,91.7665,77.6644515991211,12.210024789190152,0
BG_1776,2008-08-23,Meghalaya,25.3612,92.2845,1222.7386474609375,4.764819040031327,0
BG_1775,2007-07-13,Arunachal Pradesh,27.8965,96.1779,202.17515563964844,2.27479529638357,0
BG_1857,2008-10-28,Meghalaya,25.3433,92.2897,1200.17822265625,2.938398735796884,0
BG_1930,2007-08-29,Arunachal Pradesh,28.4298,95.8776,502.77978515625,21.544862658979795,0
BG_1929,2010-03-28,Sikkim,27.3543,88.6428,2134.095947265625,25.054383921348972,0
BG_1935,2009-09-29,Tripura,23.8986,91.7599,181.64187622070312,1.1805131202252632,0
BG_1934,2010-06-15,Assam,24.6005,92.3814,94.11790466308594,13.83840385958722,0
BG_1954,2010-03-29,Manipur,24.7543,93.5039,396.5953674316406,13.541748211840213,0
BG_1961,2008-06-08,Meghalaya,25.8833,91.2,247.497314453125,19.491589022631338,0
BG_1987,2010-07-01,Assam,25.2269,93.1658,393.1159973144531,3.0695301332274156,0
BG_1986,2008-06-19,Nagaland,26.3335,94.5512,1363.6087646484375,4.783341708185375,0
BG_1994,2008-05-16,Assam,25.0633,92.8025,91.29263305664062,14.567186754597461,0
BG_1996,2010-06-10,Nagaland,26.4333,94.8833,554.3593139648438,23.682217844368374,0
BG_2026,2008-06-09,Meghalaya,25.4916,91.2698,1488.943359375,6.414230275061489,0
BG_2025,2007-07-21,Meghalaya,25.5728,91.885,1504.425537109375,5.66685744771297,0
BG_2045,2008-08-14,Nagaland,26.2363,94.8133,1546.8511962890625,12.564283462139215,0
BG_2043,2010-04-18,Nagaland,26.7225,95.0281,702.7037353515625,7.992125468794053,0
BG_2042,2007-09-07,Nagaland,26.0093,94.5238,1799.443603515625,16.4032901545723,0
BG_2044,2008-08-13,Nagaland,25.8877,94.7861,1166.9500732421875,7.294347434078479,0
BG_2098,2007-08-23,Nagaland,26.7215,95.0283,714.2728881835938,6.106729147940272,0
BG_2106,2009-09-30,Nagaland,26.8716,94.9921,279.7633361816406,9.979892896351844,0
BG_2113,2008-08-16,Sikkim,27.3773,88.559,1498.0386962890625,33.05317513133576,0
BG_2140,2008-05-18,Assam,25.0477,92.801,189.42645263671875,26.75577420982616,0
BG_2163,2007-09-17,Nagaland,25.4196,94.1054,1414.69580078125,14.839305749221632,0
BG_2166,2009-08-09,Assam,24.9786,93.5027,1306.484130859375,13.393418655617172,0
BG_2164,2009-09-15,Manipur,25.3098633,94.48214677,1546.2117919921875,25.519678540185502,0
BG_2182,2010-06-23,Manipur,24.9356,93.8443,850.3109130859375,1.8332094919872197,0
BG_2205,2008-08-07,Mizoram,23.7365,92.7146,1065.90380859375,31.085911950075296,0
BG_2243,2007-08-31,Nagaland,25.70223725,94.04619681,1015.9720458984375,14.531680037959985,0
BG_2247,2010-05-11,Nagaland,26.148,94.8422,1481.805419921875,30.80976047462523,0
BG_2248,2009-08-26,Nagaland,26.222,94.9152,1765.640869140625,25.27403957453871,0
BG_2249,2009-10-04,Nagaland,26.0814,94.803,925.2752075195312,32.56530974295045,0
BG_2253,2007-07-26,Manipur,25.31006064,94.48265093,1546.2117919921875,25.51968892599919,0
BG_2263,2007-10-21,Nagaland,26.2753,94.6654,1143.210693359375,28.852982223479387,0
BG_2283,2010-04-12,Manipur,24.8961,93.4957,1012.417236328125,18.636583800254776,0
BG_2282,2010-05-11,Nagaland,26.1984,94.8158,1882.138427734375,21.943067153560254,0
BG_2281,2008-08-06,Nagaland,25.61560252,94.11603493,1633.5904541015625,23.358494955096305,0
BG_2296,2010-04-21,Sikkim,27.167,88.3652,1474.5645751953125,23.039844428243395,0
BG_2304,2010-05-26,Nagaland,25.5718,94.1211,1622.5428466796875,3.9057655641778495,0
BG_2344,2008-06-14,Assam,24.7505,93.4221,781.7396240234375,9.566974807315239,0
BG_2343,2010-06-09,Nagaland,25.4786,94.1327,1759.3846435546875,7.744327035351294,0
BG_2345,2007-10-16,Sikkim,27.3392,88.6188,1861.66748046875,21.44115251239517,0
BG_2392,2007-09-24,Sikkim,27.3702,88.7334,3522.42529296875,6.535219698283357,0
BG_2405,2009-09-29,Arunachal Pradesh,28.3036,95.4112,1839.6605224609375,41.815359333797915,0
BG_2411,2009-08-27,Arunachal Pradesh,27.0011,93.7273,110.6159439086914,1.9715355919127064,0
BG_2415,2007-08-25,Nagaland,25.63961883,94.11112157,1498.7935791015625,15.157388265902547,0
BG_2420,2010-05-11,Mizoram,23.72988966,92.71495623,978.51220703125,26.062897299524874,0
BG_2425,2007-09-10,Mizoram,23.3439,93.0748,1318.17236328125,33.79112668118485,0
BG_2423,2010-04-21,Mizoram,23.73504471,92.71060943,932.2317504882812,20.659012683856893,0
BG_2424,2007-05-18,Mizoram,23.591,92.9296,798.7151489257812,18.41200079464293,0
BG_2426,2010-04-19,Mizoram,22.7176,92.8416,732.7857055664062,16.464160642593765,0
BG_2422,2010-04-17,Mizoram,23.74182634,92.7141905,936.4642333984375,19.250862320953264,0
BG_2421,2010-04-15,Mizoram,23.75406693,92.74128531,958.1802978515625,20.527699123499648,0
BG_2437,2009-09-14,Mizoram,23.7527,92.694,792.6718139648438,24.823055379887705,0
BG_2436,2008-08-15,Mizoram,24.3069,93.125,762.44873046875,10.614539847439515,0
BG_2539,2009-10-05,Arunachal Pradesh,28.3092,95.4149,1870.9359130859375,43.525787197009976,0
BG_2569,2007-10-13,Nagaland,25.2745,94.0212,1067.34375,6.39634218136189,0
BG_2570,2010-04-15,Manipur,24.837,93.9128,785.0609130859375,11.619486563320518,0
BG_2566,2009-08-07,Nagaland,25.4769,94.1351,1668.579345703125,18.37668842461727,0
BG_2567,2008-08-12,Manipur,25.6633,94.4703,1443.024169921875,2.1434637184377445,0
BG_2568,2008-08-25,Assam,24.7679,93.4108,516.9309692382812,23.091548593907945,0
BG_2576,2009-08-10,Nagaland,25.4788,94.1399,1651.601318359375,13.549160732280207,0
