event_id,event_date,event_title,landslide_trigger,landslide_size,landslide_setting,country_name,state,latitude,longitude,fatality_count,injury_count
78,2007-05-23 00:00:00,"Pangthang, on road b/t Gangtok and North Sikkim",rain,medium,unknown,India,Sikkim,27.3383,88.6069,,
126,2007-07-16 00:00:00,Bardang near Singtam,rain,medium,unknown,India,Sikkim,27.1499,88.38,,
130,2007-07-19 00:00:00,Guwahati,rain,medium,unknown,India,Assam,26.1699,91.7986,6.0,
141,2007-07-26 00:00:00,Singtam,rain,medium,unknown,India,Meghalaya,25.38,91.88,,
142,2007-07-27 00:00:00,Tura,rain,large,unknown,India,Meghalaya,25.5212,90.232,8.0,
148,2007-07-30 00:00:00,Saiha,downpour,medium,unknown,India,Mizoram,22.479,92.967,,
147,2007-07-30 00:00:00,Lawngtlai,downpour,medium,unknown,India,Mizoram,22.533,92.899,,
211,2007-08-26 00:00:00,Tamenglong,continuous_rain,medium,unknown,India,Manipur,24.9667,93.55,1.0,
213,2007-08-26 00:00:00,Shillong Road at Kuliang in the Jaintia Hills,rain,medium,unknown,India,Assam,25.2946,92.8339,,
212,2007-08-26 00:00:00,National Highway No 44 at Sonarpur in Meghalaya,rain,medium,unknown,India,Meghalaya,25.5576,91.8506,,
215,2007-08-28 00:00:00,Phesema area at National Highway 39,rain,medium,unknown,India,Nagaland,25.7428,93.9136,1.0,
220,2007-08-31 00:00:00,"Velnal village, Tamei sub-division and Toribari village (3 kilometer toward Tamei from Kangpokpi)",rain,medium,unknown,India,Manipur,25.1333,93.9667,,
247,2007-09-08 00:00:00,"Lower Shajouba village near Tadubi along NH 39, Manipur ",rain,medium,unknown,India,Manipur,25.0604,93.9877,,
251,2007-09-09 00:00:00,Hingdam village in South Sikkim,rain,medium,unknown,India,Sikkim,27.1667,88.35,1.0,
252,2007-09-09 00:00:00,"Mao in Manipur, Phipema and Chunikhudima in Nagaland",rain,medium,unknown,India,Nagaland,25.4993,94.1192,,
255,2007-09-10 00:00:00,Wamkhu village along the Tengnoupal-Joupi road in Chandel district,rain,medium,unknown,India,Manipur,24.2451,94.0691,,
256,2007-09-10 00:00:00,Rhodong village near Rhey in East Sikkim,rain,medium,unknown,India,Sikkim,27.3425,88.6236,,
259,2007-09-11 00:00:00,"Assam-Agartala National Highway, Sonarpur in Jayantiya hills of Meghalaya",rain,medium,unknown,India,Meghalaya,25.52,91.27,,
258,2007-09-11 00:00:00,"NH-39 at Imphal-Moreh section, Lokchao largest event",rain,medium,unknown,India,Manipur,24.4279,94.0564,3.0,
264,2007-09-13 00:00:00,Guwahati,rain,medium,unknown,India,Assam,26.1833,91.8,,
269,2007-09-18 00:00:00,Geyzing-Jorethang road and Naya Bazar-Legship road,rain,medium,unknown,India,Sikkim,27.2872,88.2816,,
285,2007-09-29 00:00:00,"National Highway, 45 Aizwal (Mizoram)",rain,medium,unknown,India,Mizoram,24.1293,92.6921,,
313,2007-10-16 00:00:00,"NH-39 at Piphema,  6 km towards Dimapur from Kohima in Nagaland",rain,large,unknown,India,Nagaland,25.7055,94.0132,,
319,2007-10-19 00:00:00,"Maram-Purul Road, Karong Assembly Constituency of Senapati district, Manipur",rain,medium,unknown,India,Nagaland,25.4379,94.1162,,
322,2007-10-21 00:00:00,National Highway 53 at Nungba in Tamenglong district of Manipur,rain,medium,unknown,India,Assam,24.75,93.4333,,
545,2008-05-20 00:00:00,"A Cachar District village, near village of Srinager, Assam",mining,medium,unknown,India,Assam,24.9849,92.8411,5.0,
580,2008-06-09 00:00:00,"near Kuloor church, in Manipur along National Highway",monsoon,medium,unknown,India,Manipur,24.6596,93.9784,,
585,2008-06-14 00:00:00,"Itanagar-Naharlagun, Arunachal Pradesh",rain,large,unknown,India,Arunachal Pradesh,27.0998,93.6287,21.0,
587,2008-06-15 00:00:00,"Lakhimpur district, Bihpuria, Assam",downpour,medium,unknown,India,Assam,27.2298,94.0989,17.0,
594,2008-06-19 00:00:00,"Namkaoluang village, Tamenglong-Sangrung (Khongsang) road, NH-53, Manipur",monsoon,medium,unknown,India,Manipur,24.9336,93.8275,,
692,2008-08-07 00:00:00,"National Highway-39, Dimapur-Imphal road and another under Kiphire district of Nagaland",downpour,medium,unknown,India,Nagaland,25.705,94.04,,
714,2008-08-14 00:00:00,"Kimin-Ziro road in Papum Pare district, road between Doimukh and Sagalee, Doimukh-Hoj road; Arunachal Pradesh",rain,medium,unknown,India,Assam,27.163,94.0,,
731,2008-08-19 00:00:00,"Akuk village, Wokha District, Nagaland",downpour,medium,unknown,India,Nagaland,26.138,94.25,4.0,
755,2008-08-28 00:00:00,"Ranka, Sikkim and Louing road",downpour,medium,unknown,India,Sikkim,27.337,88.609,,
760,2008-08-29 00:00:00,"Kohima, Nagaland",downpour,medium,unknown,India,Nagaland,25.67,94.1066,,
868,2008-10-29 00:00:00,"Kamrup, and Sonitpur, Assam",downpour,medium,unknown,India,Assam,26.3333,91.25,7.0,
870,2008-10-29 00:00:00,"West Kameng, Arunachal Pradesh",downpour,medium,unknown,India,Arunachal Pradesh,27.4,92.35,12.0,
869,2008-10-29 00:00:00,North Lakhimpur ,downpour,medium,unknown,India,Assam,27.2333,94.1167,,
1084,2009-08-12 00:00:00,"Upper Subansiri District, Arunanchal Pradesh",downpour,medium,unknown,India,Arunachal Pradesh,27.7,92.8,0.0,
1108,2009-08-20 00:00:00,"Tamei, Tamenglong district on Imphal-Tamenglong (IT) road",downpour,medium,unknown,India,Assam,24.9925,93.5,0.0,
1112,2009-08-20 00:00:00,"NH31A, Mile 27 near Rambi",downpour,medium,unknown,India,Sikkim,27.1761,88.5287,0.0,
1109,2009-08-20 00:00:00,Lumding-Badarpur section in North Cachar Hills district,downpour,medium,unknown,India,Assam,25.5215,93.1645,0.0,
1125,2009-08-26 00:00:00,"17th Mile towards Tsomgo Lake, near Kyongsala, Sikkim ",rain,medium,unknown,India,Sikkim,27.3746,88.7648,,
1127,2009-08-27 00:00:00,between Mahur and Phaiding railway stations on Barail hills (Mahur and Barail hills located),downpour,medium,unknown,India,Assam,25.1718,93.123,,
