event_id,event_date,state,latitude,longitude,soil_moisture
78,20070523,Sikkim,27.3383,88.6069,
126,20070716,Sikkim,27.1499,88.38,0.2627215087413788
130,20070719,Assam,26.1699,91.7986,0.3564818501472473
141,20070726,Meghalaya,25.38,91.88,0.3943720757961273
142,20070727,Meghalaya,25.5212,90.232,0.37382861971855164
148,20070730,Mizoram,22.479,92.967,0.3652327358722687
147,20070730,Mizoram,22.533,92.899,0.3627379238605499
211,20070826,Manipur,24.9667,93.55,0.4132843315601349
213,20070826,Assam,25.2946,92.8339,0.3801969885826111
212,20070826,Meghalaya,25.5576,91.8506,0.31544122099876404
215,20070828,Nagaland,25.7428,93.9136,0.41972750425338745
220,20070831,Manipur,25.1333,93.9667,0.39311516284942627
247,20070908,Manipur,25.0604,93.9877,
251,20070909,Sikkim,27.1667,88.35,0.35887646675109863
252,20070909,Nagaland,25.4993,94.1192,
255,20070910,Manipur,24.2451,94.0691,
256,20070910,Sikkim,27.3425,88.6236,
259,20070911,Meghalaya,25.52,91.27,0.3111144006252289
258,20070911,Manipur,24.4279,94.0564,0.3736606538295746
264,20070913,Assam,26.1833,91.8,0.3585757911205292
269,20070918,Sikkim,27.2872,88.2816,
285,20070929,Mizoram,24.1293,92.6921,0.33636370301246643
313,20071016,Nagaland,25.7055,94.0132,
319,20071019,Nagaland,25.4379,94.1162,
322,20071021,Assam,24.75,93.4333,
545,20080520,Assam,24.9849,92.8411,0.2705793082714081
580,20080609,Manipur,24.6596,93.9784,0.34479478001594543
585,20080614,Arunachal Pradesh,27.0998,93.6287,0.2627376616001129
587,20080615,Assam,27.2298,94.0989,0.3244253993034363
594,20080619,Manipur,24.9336,93.8275,0.46117696166038513
692,20080807,Nagaland,25.705,94.04,
714,20080814,Assam,27.163,94.0,0.319918692111969
731,20080819,Nagaland,26.138,94.25,
755,20080828,Sikkim,27.337,88.609,
760,20080829,Nagaland,25.67,94.1066,
868,20081029,Assam,26.3333,91.25,0.2754361927509308
870,20081029,Arunachal Pradesh,27.4,92.35,
869,20081029,Assam,27.2333,94.1167,0.31155136227607727
1084,20090812,Arunachal Pradesh,27.7,92.8,0.3885011374950409
1108,20090820,Assam,24.9925,93.5,0.4195238947868347
1112,20090820,Sikkim,27.1761,88.5287,
1109,20090820,Assam,25.5215,93.1645,0.28995949029922485
1125,20090826,Sikkim,27.3746,88.7648,0.30766376852989197
1127,20090827,Assam,25.1718,93.123,0.36288028955459595
1129,20090830,Manipur,24.8628,94.4182,0.42174166440963745
1168,20090917,Sikkim,27.1954,88.6115,0.28109949827194214
1222,20091005,Mizoram,23.73478778,92.72124394,0.3672701120376587
1596,20100327,Manipur,24.7339,93.9161,0.15738445520401
1611,20100401,Assam,25.1553,93.028,0.31985998153686523
1613,20100402,Arunachal Pradesh,27.8997,93.3497,0.26275405287742615
1756,20100417,Sikkim,27.322,88.6087,
1755,20100417,Sikkim,27.3341,88.6083,
1770,20100420,Assam,26.1965,91.763,0.33839893341064453
1771,20100420,Assam,26.1978,91.7665,0.33839893341064453
1776,20100421,Meghalaya,25.3612,92.2845,0.3310539126396179
1775,20100421,Arunachal Pradesh,27.8965,96.1779,0.2799381911754608
1857,20100511,Meghalaya,25.3433,92.2897,0.2966039478778839
1930,20100531,Arunachal Pradesh,28.4298,95.8776,0.32804152369499207
1929,20100531,Sikkim,27.3543,88.6428,0.19317442178726196
1935,20100603,Tripura,23.8986,91.7599,0.36020562052726746
1934,20100603,Assam,24.6005,92.3814,
1954,20100607,Manipur,24.7543,93.5039,
1961,20100609,Meghalaya,25.8833,91.2,0.33407196402549744
1987,20100615,Assam,25.2269,93.1658,0.41997838020324707
1986,20100615,Nagaland,26.3335,94.5512,0.3553140163421631
1994,20100616,Assam,25.0633,92.8025,0.40201959013938904
1996,20100617,Nagaland,26.4333,94.8833,
2026,20100628,Meghalaya,25.4916,91.2698,0.3413223922252655
2025,20100628,Meghalaya,25.5728,91.885,
2045,20100706,Nagaland,26.2363,94.8133,
2043,20100706,Nagaland,26.7225,95.0281,
2042,20100706,Nagaland,26.0093,94.5238,
2044,20100706,Nagaland,25.8877,94.7861,
2098,20100719,Nagaland,26.7215,95.0283,
2106,20100720,Nagaland,26.8716,94.9921,0.41859638690948486
2113,20100721,Sikkim,27.3773,88.559,
2140,20100725,Assam,25.0477,92.801,0.3764093518257141
2163,20100729,Nagaland,25.4196,94.1054,
2166,20100729,Assam,24.9786,93.5027,0.4214828610420227
2164,20100729,Manipur,25.3098633,94.48214677,0.3354179859161377
2182,20100731,Manipur,24.9356,93.8443,0.3904913365840912
2205,20100806,Mizoram,23.7365,92.7146,
2243,20100813,Nagaland,25.70223725,94.04619681,
2247,20100814,Nagaland,26.148,94.8422,
2248,20100814,Nagaland,26.222,94.9152,
2249,20100814,Nagaland,26.0814,94.803,
2253,20100815,Manipur,25.31006064,94.48265093,0.3945375680923462
2263,20100817,Nagaland,26.2753,94.6654,
2283,20100819,Manipur,24.8961,93.4957,0.40437251329421997
2282,20100819,Nagaland,26.1984,94.8158,
2281,20100819,Nagaland,25.61560252,94.11603493,
2296,20100820,Sikkim,27.167,88.3652,0.32571810483932495
2304,20100821,Nagaland,25.5718,94.1211,
2344,20100827,Assam,24.7505,93.4221,0.3855903744697571
2343,20100827,Nagaland,25.4786,94.1327,
2345,20100827,Sikkim,27.3392,88.6188,
2392,20100904,Sikkim,27.3702,88.7334,
2405,20100909,Arunachal Pradesh,28.3036,95.4112,0.37138521671295166
2411,20100910,Arunachal Pradesh,27.0011,93.7273,0.40967196226119995
2415,20100912,Nagaland,25.63961883,94.11112157,
