event_id,event_date,state,latitude,longitude,rainfall_1d_date,rainfall_3d_start,rainfall_7d_start
78,2007-05-23 00:00:00,Sikkim,27.3383,88.6069,2007-05-23 00:00:00,2007-05-21 00:00:00,2007-05-17 00:00:00
126,2007-07-16 00:00:00,Sikkim,27.1499,88.38,2007-07-16 00:00:00,2007-07-14 00:00:00,2007-07-10 00:00:00
130,2007-07-19 00:00:00,Assam,26.1699,91.7986,2007-07-19 00:00:00,2007-07-17 00:00:00,2007-07-13 00:00:00
141,2007-07-26 00:00:00,Meghalaya,25.38,91.88,2007-07-26 00:00:00,2007-07-24 00:00:00,2007-07-20 00:00:00
142,2007-07-27 00:00:00,Meghalaya,25.5212,90.232,2007-07-27 00:00:00,2007-07-25 00:00:00,2007-07-21 00:00:00
148,2007-07-30 00:00:00,Mizoram,22.479,92.967,2007-07-30 00:00:00,2007-07-28 00:00:00,2007-07-24 00:00:00
147,2007-07-30 00:00:00,Mizoram,22.533,92.899,2007-07-30 00:00:00,2007-07-28 00:00:00,2007-07-24 00:00:00
211,2007-08-26 00:00:00,Manipur,24.9667,93.55,2007-08-26 00:00:00,2007-08-24 00:00:00,2007-08-20 00:00:00
213,2007-08-26 00:00:00,Assam,25.2946,92.8339,2007-08-26 00:00:00,2007-08-24 00:00:00,2007-08-20 00:00:00
212,2007-08-26 00:00:00,Meghalaya,25.5576,91.8506,2007-08-26 00:00:00,2007-08-24 00:00:00,2007-08-20 00:00:00
215,2007-08-28 00:00:00,Nagaland,25.7428,93.9136,2007-08-28 00:00:00,2007-08-26 00:00:00,2007-08-22 00:00:00
220,2007-08-31 00:00:00,Manipur,25.1333,93.9667,2007-08-31 00:00:00,2007-08-29 00:00:00,2007-08-25 00:00:00
247,2007-09-08 00:00:00,Manipur,25.0604,93.9877,2007-09-08 00:00:00,2007-09-06 00:00:00,2007-09-02 00:00:00
251,2007-09-09 00:00:00,Sikkim,27.1667,88.35,2007-09-09 00:00:00,2007-09-07 00:00:00,2007-09-03 00:00:00
252,2007-09-09 00:00:00,Nagaland,25.4993,94.1192,2007-09-09 00:00:00,2007-09-07 00:00:00,2007-09-03 00:00:00
255,2007-09-10 00:00:00,Manipur,24.2451,94.0691,2007-09-10 00:00:00,2007-09-08 00:00:00,2007-09-04 00:00:00
256,2007-09-10 00:00:00,Sikkim,27.3425,88.6236,2007-09-10 00:00:00,2007-09-08 00:00:00,2007-09-04 00:00:00
259,2007-09-11 00:00:00,Meghalaya,25.52,91.27,2007-09-11 00:00:00,2007-09-09 00:00:00,2007-09-05 00:00:00
258,2007-09-11 00:00:00,Manipur,24.4279,94.0564,2007-09-11 00:00:00,2007-09-09 00:00:00,2007-09-05 00:00:00
264,2007-09-13 00:00:00,Assam,26.1833,91.8,2007-09-13 00:00:00,2007-09-11 00:00:00,2007-09-07 00:00:00
269,2007-09-18 00:00:00,Sikkim,27.2872,88.2816,2007-09-18 00:00:00,2007-09-16 00:00:00,2007-09-12 00:00:00
285,2007-09-29 00:00:00,Mizoram,24.1293,92.6921,2007-09-29 00:00:00,2007-09-27 00:00:00,2007-09-23 00:00:00
313,2007-10-16 00:00:00,Nagaland,25.7055,94.0132,2007-10-16 00:00:00,2007-10-14 00:00:00,2007-10-10 00:00:00
319,2007-10-19 00:00:00,Nagaland,25.4379,94.1162,2007-10-19 00:00:00,2007-10-17 00:00:00,2007-10-13 00:00:00
322,2007-10-21 00:00:00,Assam,24.75,93.4333,2007-10-21 00:00:00,2007-10-19 00:00:00,2007-10-15 00:00:00
545,2008-05-20 00:00:00,Assam,24.9849,92.8411,2008-05-20 00:00:00,2008-05-18 00:00:00,2008-05-14 00:00:00
580,2008-06-09 00:00:00,Manipur,24.6596,93.9784,2008-06-09 00:00:00,2008-06-07 00:00:00,2008-06-03 00:00:00
585,2008-06-14 00:00:00,Arunachal Pradesh,27.0998,93.6287,2008-06-14 00:00:00,2008-06-12 00:00:00,2008-06-08 00:00:00
587,2008-06-15 00:00:00,Assam,27.2298,94.0989,2008-06-15 00:00:00,2008-06-13 00:00:00,2008-06-09 00:00:00
594,2008-06-19 00:00:00,Manipur,24.9336,93.8275,2008-06-19 00:00:00,2008-06-17 00:00:00,2008-06-13 00:00:00
692,2008-08-07 00:00:00,Nagaland,25.705,94.04,2008-08-07 00:00:00,2008-08-05 00:00:00,2008-08-01 00:00:00
714,2008-08-14 00:00:00,Assam,27.163,94.0,2008-08-14 00:00:00,2008-08-12 00:00:00,2008-08-08 00:00:00
731,2008-08-19 00:00:00,Nagaland,26.138,94.25,2008-08-19 00:00:00,2008-08-17 00:00:00,2008-08-13 00:00:00
755,2008-08-28 00:00:00,Sikkim,27.337,88.609,2008-08-28 00:00:00,2008-08-26 00:00:00,2008-08-22 00:00:00
760,2008-08-29 00:00:00,Nagaland,25.67,94.1066,2008-08-29 00:00:00,2008-08-27 00:00:00,2008-08-23 00:00:00
868,2008-10-29 00:00:00,Assam,26.3333,91.25,2008-10-29 00:00:00,2008-10-27 00:00:00,2008-10-23 00:00:00
870,2008-10-29 00:00:00,Arunachal Pradesh,27.4,92.35,2008-10-29 00:00:00,2008-10-27 00:00:00,2008-10-23 00:00:00
869,2008-10-29 00:00:00,Assam,27.2333,94.1167,2008-10-29 00:00:00,2008-10-27 00:00:00,2008-10-23 00:00:00
1084,2009-08-12 00:00:00,Arunachal Pradesh,27.7,92.8,2009-08-12 00:00:00,2009-08-10 00:00:00,2009-08-06 00:00:00
1108,2009-08-20 00:00:00,Assam,24.9925,93.5,2009-08-20 00:00:00,2009-08-18 00:00:00,2009-08-14 00:00:00
1112,2009-08-20 00:00:00,Sikkim,27.1761,88.5287,2009-08-20 00:00:00,2009-08-18 00:00:00,2009-08-14 00:00:00
1109,2009-08-20 00:00:00,Assam,25.5215,93.1645,2009-08-20 00:00:00,2009-08-18 00:00:00,2009-08-14 00:00:00
1125,2009-08-26 00:00:00,Sikkim,27.3746,88.7648,2009-08-26 00:00:00,2009-08-24 00:00:00,2009-08-20 00:00:00
1127,2009-08-27 00:00:00,Assam,25.1718,93.123,2009-08-27 00:00:00,2009-08-25 00:00:00,2009-08-21 00:00:00
1129,2009-08-30 00:00:00,Manipur,24.8628,94.4182,2009-08-30 00:00:00,2009-08-28 00:00:00,2009-08-24 00:00:00
1168,2009-09-17 00:00:00,Sikkim,27.1954,88.6115,2009-09-17 00:00:00,2009-09-15 00:00:00,2009-09-11 00:00:00
1222,2009-10-05 00:00:00,Mizoram,23.73478778,92.72124394,2009-10-05 00:00:00,2009-10-03 00:00:00,2009-09-29 00:00:00
1596,2010-03-27 20:00:00,Manipur,24.7339,93.9161,2010-03-27 20:00:00,2010-03-25 20:00:00,2010-03-21 20:00:00
1611,2010-04-01 00:00:00,Assam,25.1553,93.028,2010-04-01 00:00:00,2010-03-30 00:00:00,2010-03-26 00:00:00
1613,2010-04-02 23:00:00,Arunachal Pradesh,27.8997,93.3497,2010-04-02 23:00:00,2010-03-31 23:00:00,2010-03-27 23:00:00
1756,2010-04-17 00:00:00,Sikkim,27.322,88.6087,2010-04-17 00:00:00,2010-04-15 00:00:00,2010-04-11 00:00:00
1755,2010-04-17 15:00:00,Sikkim,27.3341,88.6083,2010-04-17 15:00:00,2010-04-15 15:00:00,2010-04-11 15:00:00
1770,2010-04-20 00:00:00,Assam,26.1965,91.763,2010-04-20 00:00:00,2010-04-18 00:00:00,2010-04-14 00:00:00
1771,2010-04-20 00:00:00,Assam,26.1978,91.7665,2010-04-20 00:00:00,2010-04-18 00:00:00,2010-04-14 00:00:00
1775,2010-04-21 00:00:00,Arunachal Pradesh,27.8965,96.1779,2010-04-21 00:00:00,2010-04-19 00:00:00,2010-04-15 00:00:00
1776,2010-04-21 00:00:00,Meghalaya,25.3612,92.2845,2010-04-21 00:00:00,2010-04-19 00:00:00,2010-04-15 00:00:00
1857,2010-05-11 09:00:00,Meghalaya,25.3433,92.2897,2010-05-11 09:00:00,2010-05-09 09:00:00,2010-05-05 09:00:00
1930,2010-05-31 00:00:00,Arunachal Pradesh,28.4298,95.8776,2010-05-31 00:00:00,2010-05-29 00:00:00,2010-05-25 00:00:00
1929,2010-05-31 23:00:00,Sikkim,27.3543,88.6428,2010-05-31 23:00:00,2010-05-29 23:00:00,2010-05-25 23:00:00
1935,2010-06-03 00:00:00,Tripura,23.8986,91.7599,2010-06-03 00:00:00,2010-06-01 00:00:00,2010-05-28 00:00:00
1934,2010-06-03 05:00:00,Assam,24.6005,92.3814,2010-06-03 05:00:00,2010-06-01 05:00:00,2010-05-28 05:00:00
1954,2010-06-07 00:00:00,Manipur,24.7543,93.5039,2010-06-07 00:00:00,2010-06-05 00:00:00,2010-06-01 00:00:00
1961,2010-06-09 14:15:00,Meghalaya,25.8833,91.2,2010-06-09 14:15:00,2010-06-07 14:15:00,2010-06-03 14:15:00
1987,2010-06-15 00:00:00,Assam,25.2269,93.1658,2010-06-15 00:00:00,2010-06-13 00:00:00,2010-06-09 00:00:00
1986,2010-06-15 00:00:00,Nagaland,26.3335,94.5512,2010-06-15 00:00:00,2010-06-13 00:00:00,2010-06-09 00:00:00
1994,2010-06-16 00:00:00,Assam,25.0633,92.8025,2010-06-16 00:00:00,2010-06-14 00:00:00,2010-06-10 00:00:00
1996,2010-06-17 19:30:00,Nagaland,26.4333,94.8833,2010-06-17 19:30:00,2010-06-15 19:30:00,2010-06-11 19:30:00
2026,2010-06-28 00:00:00,Meghalaya,25.4916,91.2698,2010-06-28 00:00:00,2010-06-26 00:00:00,2010-06-22 00:00:00
2025,2010-06-28 00:00:00,Meghalaya,25.5728,91.885,2010-06-28 00:00:00,2010-06-26 00:00:00,2010-06-22 00:00:00
2045,2010-07-06 00:00:00,Nagaland,26.2363,94.8133,2010-07-06 00:00:00,2010-07-04 00:00:00,2010-06-30 00:00:00
2043,2010-07-06 00:00:00,Nagaland,26.7225,95.0281,2010-07-06 00:00:00,2010-07-04 00:00:00,2010-06-30 00:00:00
2042,2010-07-06 00:00:00,Nagaland,26.0093,94.5238,2010-07-06 00:00:00,2010-07-04 00:00:00,2010-06-30 00:00:00
2044,2010-07-06 00:00:00,Nagaland,25.8877,94.7861,2010-07-06 00:00:00,2010-07-04 00:00:00,2010-06-30 00:00:00
2098,2010-07-19 06:00:00,Nagaland,26.7215,95.0283,2010-07-19 06:00:00,2010-07-17 06:00:00,2010-07-13 06:00:00
